objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels
39520,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP253562.jpg,0.35151600,#fdfdfd,"[""#fdfdfd"", ""#6c5c4b"", ""#9b836c"", ""#635443"", ""#4b453b"", ""#937c64"", ""#746453"", ""#a38b74""]","[0.02502, 0.013385, 0.01291, 0.01211, 0.01203, 0.01187, 0.011835, 0.011785]",8,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39520_no_bg.png,True,342959
39521,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DT4134.jpg,0.77766000,#534d3c,"[""#534d3c"", ""#5a5444"", ""#4b4534"", ""#fdfdfd"", ""#9b9383"", ""#635d4c"", ""#6b6453"", ""#454233""]","[0.02250718, 0.02010157, 0.01811403, 0.01764113, 0.01604425, 0.01579752, 0.01515328, 0.0143377]",3,yellow,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39521_no_bg.png,True,145909
39524,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP222014.jpg,0.07146800,#fdfdfd,"[""#fdfdfd"", ""#f4f4f3"", ""#2c4423"", ""#2c4b23"", ""#2b2d1c"", ""#2c331c"", ""#ececeb"", ""#44230c""]","[0.02695233, 0.00450837, 0.00441624, 0.00321862, 0.00314377, 0.00301134, 0.00264859, 0.00259102]",8,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39524_no_bg.png,True,173677
39528,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-14610-043.jpg,0.71323200,#020202,"[""#020202"", ""#131314"", ""#0c0c0c"", ""#1b1b1b"", ""#03040a"", ""#0c0d12"", ""#14151a"", ""#2b2b2c""]","[0.177065, 0.06449, 0.052855, 0.031895, 0.027, 0.020855, 0.02003, 0.020015]",5,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39528_no_bg.png,True,476466
39531,True,eligible,https://images.metmuseum.org/CRDImages/as/original/1997_1_10.jpg,0.00017200,#edebdc,"[""#edebdc"", ""#f1ede3"", ""#fefdfd"", ""#d4c4a3"", ""#ebead4"", ""#d3c39c"", ""#daccab"", ""#7b6554""]","[0.018545, 0.01568, 0.012645, 0.012415, 0.01176, 0.011195, 0.010785, 0.00938]",9,white,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39531_no_bg.png,True,387322
39559,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP158745.jpg,0.07414800,#242422,"[""#242422"", ""#21211e"", ""#1d1d1b"", ""#2c2c2a"", ""#343433"", ""#292926"", ""#3c3c3a"", ""#32312e""]","[0.345055, 0.116025, 0.09775, 0.059405, 0.0463, 0.029835, 0.022795, 0.017795]",3,yellow,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39559_no_bg.png,True,266463
39576,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-34202-001.jpg,0.54836400,#2a2523,"[""#2a2523"", ""#cdb294"", ""#ccae91"", ""#d3b699"", ""#d4ba9c"", ""#2e2925"", ""#caab8e"", ""#c5aa8c""]","[0.03156, 0.029495, 0.025195, 0.024645, 0.024435, 0.02362, 0.020925, 0.019495]",5,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39576_no_bg.png,True,365229
39589,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP254514.jpg,0.21526400,#a4a49b,"[""#a4a49b"", ""#9c9c93"", ""#fdfdfd"", ""#94958b"", ""#abaca3"", ""#83847b"", ""#8b8c82"", ""#9c9582""]","[0.036215, 0.03606, 0.02724, 0.026005, 0.02593, 0.021805, 0.020905, 0.01941]",7,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39589_no_bg.png,True,247011
39590,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DT4857.jpg,0.63660000,#9ba394,"[""#9ba394"", ""#949c8c"", ""#9a9e8c"", ""#8b9583"", ""#949a84"", ""#adbaab"", ""#9ca18d"", ""#abb4a4""]","[0.11469, 0.063385, 0.03148, 0.0301, 0.030035, 0.02975, 0.02772, 0.027305]",7,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39590_no_bg.png,True,256244
39609,True,eligible,https://images.metmuseum.org/CRDImages/as/original/1996_476_O1.jpg,0.02068000,#545b44,"[""#545b44"", ""#454a33"", ""#646b54"", ""#6b725c"", ""#747b64"", ""#7b816c"", ""#656c5a"", ""#4d523c""]","[0.04649, 0.04492, 0.038305, 0.036315, 0.0329, 0.02791, 0.027505, 0.02541]",3,yellow,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39609_no_bg.png,True,524598
