objectId,department,title,final_group,objectBeginDate,objectEndDate,final_date,final_date_bucket_key,geo_options,geo_normalized_best_guess_location,geo_normalized_source_cols,geo_normalized_confidence,geo_normalized_geo_eligible,mapbox_feature_id,mapbox_place_name,geo_mapbox_lon,geo_mapbox_lat,geo_mapbox_relevance,geo_mapbox_accuracy,geo_mapbox_match_status,geo_mapbox_updated_at,color_eligible,top_color_hex,dominant_colors_hex,color_group_id,color_group_key,color_group_type,color_group_confidence
476300,Medieval Art,Jar,jar,300,699,499,0:499,||Kharga Oasis||||Byzantine Egypt||Coptic||,"Kharga Oasis, Byzantine Egypt",state||country,0.72,true,country.8771,Egypt,29.871903,26.494184,0.388889,country:0.39,matched,2026-04-27T16:46:49Z,True,#6b3c23,"[""#6b3c23"", ""#6b3b1c"", ""#64341c"", ""#cb8463"", ""#d48c6b"", ""#c37c5b"", ""#7b4324"", ""#cb835c""]",3.0,orange,single,1.0
460147,Robert Lehman Collection,Apothecary jar (albarello),jar,1477,1493,1485,1000:1499,"||||||||Italian, Faenza||","Faenza, Italy",culture||country,0.55,true,place.21547120,"Faenza, Ravenna, Italy",11.882004,44.285633,1.0,place:1.00,matched,2026-04-27T16:46:41Z,True,#fdfefd,"[""#fdfefd"", ""#f4f4f3"", ""#fdfdf4"", ""#f4fdfd"", ""#ececeb"", ""#33241b"", ""#fdfcec"", ""#342b23""]",0.0,multicolor,multicolor,0.545779
208040,European Sculpture and Decorative Arts,Vase,vase,1755,1775,1765,1500:1999,||||||||||Italian,Italy,department||artistNationality,0.53,true,country.8816,Italy,12.646361,42.504154,1.0,country:1.00,matched,2026-04-27T16:46:47Z,False,,[],,,,
444517,Islamic Art,Bottle,bottle,1675,1699,1687,1500:1999,||||||Iran||||,Iran,country,0.70,true,country.8814,Iran,54.301374,32.565838,1.0,country:1.00,matched,2026-04-27T16:46:46Z,True,#fefefd,"[""#fefefd"", ""#f4f4f4"", ""#fdfcf4"", ""#332314"", ""#020202"", ""#2c1c0c"", ""#ececeb"", ""#fcfc93""]",9.0,white,single,0.773631
45883,Asian Art,Vase with birds and flowers,vase,1800,1899,1849,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#030304,"[""#030304"", ""#131313"", ""#0c0c0c"", ""#1b1c1b"", ""#fefefe"", ""#050609"", ""#e5e5e2"", ""#e9e9e6""]",0.0,multicolor,multicolor,0.425906
193064,European Sculpture and Decorative Arts,Jug,jug,1800,1815,1807,1500:1999,||||||||||,,none,0.00,false,,,,,,,,,True,#bcbcbb,"[""#bcbcbb"", ""#fefefe"", ""#c4c4c3"", ""#bbbbb4"", ""#c4c2bc"", ""#b4b4b3"", ""#acadab"", ""#cac5bb""]",9.0,white,single,0.635119
62681,Asian Art,Jar,jar,1800,1899,1849,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
48765,Asian Art,Vase,vase,1700,1799,1749,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
42272,Asian Art,Vase with flowers,vase,1700,1899,1799,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
210783,European Sculpture and Decorative Arts,Milk jug,jug,1842,1842,1842,1500:1999,||||||||||British,Britain,department||artistNationality,0.53,true,country.8783,United Kingdom,-2.36967,54.237933,1.0,country:1.00,matched,2026-04-27T16:46:31Z,True,#cccccb,"[""#cccccb"", ""#c4c4c3"", ""#bcbcbb"", ""#d4d4d3"", ""#e4e4e3"", ""#dcdcdb"", ""#acacab"", ""#b4b4b3""]",9.0,white,single,1.0
670992,Asian Art,Widemouthed Oil Jar (Kame) with Wave Pattern,jar,1700,1799,1749,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#fefefe,"[""#fefefe"", ""#140302"", ""#1a0403"", ""#83633b"", ""#64432c"", ""#5c3b24"", ""#734c2b"", ""#6c4b34""]",2.0,brown_tan,single,0.887085
42208,Asian Art,Vase,vase,1667,1733,1700,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#020201,"[""#020201"", ""#15120d"", ""#120e0a"", ""#25211d"", ""#1a1612"", ""#221e1a"", ""#0d0a05"", ""#1d1915""]",0.0,multicolor,multicolor,0.597686
46968,Asian Art,Square Flask,flask,1700,1799,1749,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
49270,Asian Art,Storage jar,jar,1300,1499,1399,1000:1499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
476251,Medieval Art,Amphora,amphora,300,699,499,0:499,||Kharga Oasis||||Byzantine Egypt||Coptic||,"Kharga Oasis, Byzantine Egypt",state||country,0.72,true,country.8771,Egypt,29.871903,26.494184,0.388889,country:0.39,matched,2026-04-27T16:46:49Z,True,#938274,"[""#938274"", ""#a49384"", ""#73645b"", ""#9c8a7c"", ""#6b5c53"", ""#736354"", ""#8b7b6c"", ""#ac9b8c""]",2.0,brown_tan,single,1.0
449906,Islamic Art,Ewer,pitcher,800,999,899,500:999,Nishapur||||||Iran||||,"Nishapur, Iran",city||country,0.88,true,place.1878126,"Nishapur County, Razavi Khorasan, Iran",58.79233,36.21129,0.95,place:0.95,matched,2026-04-27T16:46:56Z,True,#f3d49c,"[""#f3d49c"", ""#fbe3ab"", ""#ebcc94"", ""#f5dba3"", ""#fadda4"", ""#fefdfd"", ""#e4c38c"", ""#936b34""]",2.0,brown_tan,single,0.914693
50305,Asian Art,Jar,jar,100,399,249,0:499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#d4c3ab,"[""#d4c3ab"", ""#dbcbb4"", ""#fefefe"", ""#b4946b"", ""#ccbca3"", ""#ac8b64"", ""#d3b384"", ""#dbbd93""]",2.0,brown_tan,single,0.873781
46665,Asian Art,Vase,vase,1800,1899,1849,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#0b0c0a,"[""#0b0c0a"", ""#050504"", ""#fefefe"", ""#533424"", ""#755a4b"", ""#634334"", ""#6b4c3c"", ""#5c3c2b""]",2.0,brown_tan,single,0.701858
52916,Asian Art,Vase,vase,1662,1722,1692,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#4b535b,"[""#4b535b"", ""#74818c"", ""#6d7a85"", ""#9daab4"", ""#535b64"", ""#94a2ac"", ""#6a7681"", ""#454d55""]",5.0,blue,single,0.614515
