objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels,color_group_key,color_group_type,color_group_confidence
52400,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/79_2_1203_O.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52400_no_bg.png,False,,,,
52401,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/79_2_864_O.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52401_no_bg.png,False,,,,
52436,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/93_3_12.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52436_no_bg.png,False,,,,
52442,True,eligible,"https://images.metmuseum.org/CRDImages/as/original/DP23117_93.3.42,a.jpg",0.002448,#c2c4bc,"[""#c2c4bc"", ""#babcb4"", ""#b3b5ad"", ""#b6b9b2"", ""#bec1b9"", ""#cbccc3"", ""#d4dbd2"", ""#fdfdfc""]","[0.097545, 0.09502, 0.03604, 0.03194, 0.030345, 0.02797, 0.02184, 0.01804]",103,neutral 0.85 + yellow 0.09,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52442_no_bg.png,True,455106.0,combo_4,combo,0.702435
52461,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/79_2_1146_O.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52461_no_bg.png,False,,,,
52470,True,eligible,https://images.metmuseum.org/CRDImages/as/original/93_3_244_ab_O1_sf.jpg,0.0,#8c8273,"[""#8c8273"", ""#847b6b"", ""#938474"", ""#9c8c7b"", ""#a49482"", ""#817564"", ""#948a7b"", ""#8a7e6c""]","[0.077795, 0.07446, 0.03761, 0.036645, 0.036425, 0.034725, 0.03379, 0.032715]",100,orange 0.59 + neutral 0.31,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52470_no_bg.png,True,401957.0,combo_1,combo,0.817954
52479,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/23_225_175.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52479_no_bg.png,False,,,,
52491,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/23_225_94.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52491_no_bg.png,False,,,,
52492,True,eligible,https://images.metmuseum.org/CRDImages/as/original/93_3_58ab_O2_sf.JPG,0.002888,#fdfdfd,"[""#fdfdfd"", ""#5c7bab"", ""#5473a4"", ""#5b749b"", ""#536c93"", ""#5c7aa4"", ""#6482ac"", ""#6483b3""]","[0.01718, 0.015235, 0.01382, 0.01142, 0.010605, 0.010525, 0.01052, 0.01035]",1,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52492_no_bg.png,True,392012.0,blue,single,0.827605
52506,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/23_225_111.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52506_no_bg.png,False,,,,
52513,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-34197-001.jpg,0.516712,#322d2a,"[""#322d2a"", ""#141a2c"", ""#141b34"", ""#0d1224"", ""#0c1433"", ""#0d132b"", ""#131c3b"", ""#121524""]","[0.01339, 0.013035, 0.011925, 0.010975, 0.01069, 0.010465, 0.009655, 0.00964]",1,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52513_no_bg.png,True,442296.0,blue,single,0.850849
52514,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP247424.jpg,0.036128,#241b1b,"[""#241b1b"", ""#2b2423"", ""#332c2b"", ""#1d1414"", ""#2a1d1c"", ""#3b3433"", ""#ecdcc3"", ""#fdfdfd""]","[0.04155, 0.03278, 0.0289, 0.01523, 0.01455, 0.013415, 0.011195, 0.01106]",102,red 0.37 + orange 0.32,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52514_no_bg.png,True,442700.0,combo_3,combo,0.619376
52517,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/93_3_113.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52517_no_bg.png,False,,,,
52518,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/93_3_22.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52518_no_bg.png,False,,,,
52524,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/66658.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52524_no_bg.png,False,,,,
52546,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/14624.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52546_no_bg.png,False,,,,
52547,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/74082.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52547_no_bg.png,False,,,,
52562,True,eligible,https://images.metmuseum.org/CRDImages/as/original/16_165_O1.jpg,0.030256,#fefefe,"[""#fefefe"", ""#534424"", ""#5b4c2b"", ""#4b3c1c"", ""#63542c"", ""#5b4c24"", ""#6b5c34"", ""#635433""]","[0.019035, 0.01339, 0.012895, 0.01254, 0.01158, 0.0115, 0.01135, 0.011335]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52562_no_bg.png,True,375103.0,combo_2,combo,0.709323
52563,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/103493.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52563_no_bg.png,False,,,,
52568,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/18_57_4_39101.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52568_no_bg.png,False,,,,
