objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
42317,22,24,lab_slots_ab_hist_rel_v2
42324,5,24,lab_slots_ab_hist_rel_v2
42326,-1,24,lab_slots_ab_hist_rel_v2
42331,18,24,lab_slots_ab_hist_rel_v2
42333,0,24,lab_slots_ab_hist_rel_v2
42336,13,24,lab_slots_ab_hist_rel_v2
42337,8,24,lab_slots_ab_hist_rel_v2
42338,22,24,lab_slots_ab_hist_rel_v2
42341,-1,24,lab_slots_ab_hist_rel_v2
42350,18,24,lab_slots_ab_hist_rel_v2
42353,18,24,lab_slots_ab_hist_rel_v2
42354,8,24,lab_slots_ab_hist_rel_v2
42355,-1,24,lab_slots_ab_hist_rel_v2
42358,-1,24,lab_slots_ab_hist_rel_v2
42360,20,24,lab_slots_ab_hist_rel_v2
42363,15,24,lab_slots_ab_hist_rel_v2
42364,1,24,lab_slots_ab_hist_rel_v2
42366,22,24,lab_slots_ab_hist_rel_v2
42367,1,24,lab_slots_ab_hist_rel_v2
42368,13,24,lab_slots_ab_hist_rel_v2
42369,-1,24,lab_slots_ab_hist_rel_v2
42370,22,24,lab_slots_ab_hist_rel_v2
42376,18,24,lab_slots_ab_hist_rel_v2
42377,-1,24,lab_slots_ab_hist_rel_v2
42378,1,24,lab_slots_ab_hist_rel_v2
42389,8,24,lab_slots_ab_hist_rel_v2
42391,1,24,lab_slots_ab_hist_rel_v2
42393,-1,24,lab_slots_ab_hist_rel_v2
42394,22,24,lab_slots_ab_hist_rel_v2
42397,1,24,lab_slots_ab_hist_rel_v2
42400,22,24,lab_slots_ab_hist_rel_v2
42403,1,24,lab_slots_ab_hist_rel_v2
42406,-1,24,lab_slots_ab_hist_rel_v2
42409,22,24,lab_slots_ab_hist_rel_v2
42413,10,24,lab_slots_ab_hist_rel_v2
42414,10,24,lab_slots_ab_hist_rel_v2
42415,6,24,lab_slots_ab_hist_rel_v2
42416,6,24,lab_slots_ab_hist_rel_v2
42417,-1,24,lab_slots_ab_hist_rel_v2
42421,18,24,lab_slots_ab_hist_rel_v2
42422,6,24,lab_slots_ab_hist_rel_v2
42424,10,24,lab_slots_ab_hist_rel_v2
42425,-1,24,lab_slots_ab_hist_rel_v2
42426,-1,24,lab_slots_ab_hist_rel_v2
42427,5,24,lab_slots_ab_hist_rel_v2
42428,9,24,lab_slots_ab_hist_rel_v2
42432,0,24,lab_slots_ab_hist_rel_v2
42434,1,24,lab_slots_ab_hist_rel_v2
42436,18,24,lab_slots_ab_hist_rel_v2
42438,1,24,lab_slots_ab_hist_rel_v2
42439,0,24,lab_slots_ab_hist_rel_v2
42440,1,24,lab_slots_ab_hist_rel_v2
42443,-1,24,lab_slots_ab_hist_rel_v2
42447,6,24,lab_slots_ab_hist_rel_v2
42448,-1,24,lab_slots_ab_hist_rel_v2
42450,10,24,lab_slots_ab_hist_rel_v2
42464,-1,24,lab_slots_ab_hist_rel_v2
42468,22,24,lab_slots_ab_hist_rel_v2
42469,1,24,lab_slots_ab_hist_rel_v2
42474,1,24,lab_slots_ab_hist_rel_v2
42476,6,24,lab_slots_ab_hist_rel_v2
42477,6,24,lab_slots_ab_hist_rel_v2
42479,0,24,lab_slots_ab_hist_rel_v2
42486,10,24,lab_slots_ab_hist_rel_v2
42490,22,24,lab_slots_ab_hist_rel_v2
42491,22,24,lab_slots_ab_hist_rel_v2
42498,22,24,lab_slots_ab_hist_rel_v2
42505,8,24,lab_slots_ab_hist_rel_v2
42506,13,24,lab_slots_ab_hist_rel_v2
42510,6,24,lab_slots_ab_hist_rel_v2
42511,22,24,lab_slots_ab_hist_rel_v2
42522,4,24,lab_slots_ab_hist_rel_v2
42537,13,24,lab_slots_ab_hist_rel_v2
42540,5,24,lab_slots_ab_hist_rel_v2
42541,7,24,lab_slots_ab_hist_rel_v2
42549,22,24,lab_slots_ab_hist_rel_v2
42550,4,24,lab_slots_ab_hist_rel_v2
42551,18,24,lab_slots_ab_hist_rel_v2
42694,5,24,lab_slots_ab_hist_rel_v2
42740,13,24,lab_slots_ab_hist_rel_v2
44332,-1,24,lab_slots_ab_hist_rel_v2
44349,-1,24,lab_slots_ab_hist_rel_v2
44419,7,24,lab_slots_ab_hist_rel_v2
44421,0,24,lab_slots_ab_hist_rel_v2
44422,-1,24,lab_slots_ab_hist_rel_v2
44423,-1,24,lab_slots_ab_hist_rel_v2
44424,-1,24,lab_slots_ab_hist_rel_v2
44426,6,24,lab_slots_ab_hist_rel_v2
44427,7,24,lab_slots_ab_hist_rel_v2
44428,0,24,lab_slots_ab_hist_rel_v2
44429,-1,24,lab_slots_ab_hist_rel_v2
44431,-1,24,lab_slots_ab_hist_rel_v2
44439,-1,24,lab_slots_ab_hist_rel_v2
44441,-1,24,lab_slots_ab_hist_rel_v2
44447,-1,24,lab_slots_ab_hist_rel_v2
44448,-1,24,lab_slots_ab_hist_rel_v2
44450,-1,24,lab_slots_ab_hist_rel_v2
44454,5,24,lab_slots_ab_hist_rel_v2
44465,18,24,lab_slots_ab_hist_rel_v2
44467,0,24,lab_slots_ab_hist_rel_v2
44528,1,24,lab_slots_ab_hist_rel_v2
44637,18,24,lab_slots_ab_hist_rel_v2
44688,-1,24,lab_slots_ab_hist_rel_v2
44689,-1,24,lab_slots_ab_hist_rel_v2
44690,-1,24,lab_slots_ab_hist_rel_v2
44721,-1,24,lab_slots_ab_hist_rel_v2
44722,5,24,lab_slots_ab_hist_rel_v2
44724,-1,24,lab_slots_ab_hist_rel_v2
44725,-1,24,lab_slots_ab_hist_rel_v2
44726,0,24,lab_slots_ab_hist_rel_v2
44727,1,24,lab_slots_ab_hist_rel_v2
44728,-1,24,lab_slots_ab_hist_rel_v2
44729,-1,24,lab_slots_ab_hist_rel_v2
44730,-1,24,lab_slots_ab_hist_rel_v2
44733,1,24,lab_slots_ab_hist_rel_v2
44737,5,24,lab_slots_ab_hist_rel_v2
44738,1,24,lab_slots_ab_hist_rel_v2
44739,1,24,lab_slots_ab_hist_rel_v2
44740,8,24,lab_slots_ab_hist_rel_v2
44741,8,24,lab_slots_ab_hist_rel_v2
44742,8,24,lab_slots_ab_hist_rel_v2
44743,13,24,lab_slots_ab_hist_rel_v2
44747,8,24,lab_slots_ab_hist_rel_v2
44749,8,24,lab_slots_ab_hist_rel_v2
44752,8,24,lab_slots_ab_hist_rel_v2
44755,8,24,lab_slots_ab_hist_rel_v2
44756,4,24,lab_slots_ab_hist_rel_v2
44793,-1,24,lab_slots_ab_hist_rel_v2
44817,0,24,lab_slots_ab_hist_rel_v2
44830,5,24,lab_slots_ab_hist_rel_v2
44862,10,24,lab_slots_ab_hist_rel_v2
44907,-1,24,lab_slots_ab_hist_rel_v2
44953,18,24,lab_slots_ab_hist_rel_v2
44973,18,24,lab_slots_ab_hist_rel_v2
44974,1,24,lab_slots_ab_hist_rel_v2
44977,1,24,lab_slots_ab_hist_rel_v2
45205,9,24,lab_slots_ab_hist_rel_v2
45365,18,24,lab_slots_ab_hist_rel_v2
45432,10,24,lab_slots_ab_hist_rel_v2
45482,0,24,lab_slots_ab_hist_rel_v2
45484,18,24,lab_slots_ab_hist_rel_v2
45527,-1,24,lab_slots_ab_hist_rel_v2
45529,5,24,lab_slots_ab_hist_rel_v2
45550,-1,24,lab_slots_ab_hist_rel_v2
45552,1,24,lab_slots_ab_hist_rel_v2
45553,8,24,lab_slots_ab_hist_rel_v2
45554,-1,24,lab_slots_ab_hist_rel_v2
45555,8,24,lab_slots_ab_hist_rel_v2
45556,8,24,lab_slots_ab_hist_rel_v2
45732,13,24,lab_slots_ab_hist_rel_v2
45828,-1,24,lab_slots_ab_hist_rel_v2
45829,22,24,lab_slots_ab_hist_rel_v2
45830,22,24,lab_slots_ab_hist_rel_v2
45832,-1,24,lab_slots_ab_hist_rel_v2
45833,-1,24,lab_slots_ab_hist_rel_v2
45834,-1,24,lab_slots_ab_hist_rel_v2
45837,-1,24,lab_slots_ab_hist_rel_v2
45838,-1,24,lab_slots_ab_hist_rel_v2
45839,-1,24,lab_slots_ab_hist_rel_v2
45844,6,24,lab_slots_ab_hist_rel_v2
45845,-1,24,lab_slots_ab_hist_rel_v2
45847,-1,24,lab_slots_ab_hist_rel_v2
45848,22,24,lab_slots_ab_hist_rel_v2
45849,18,24,lab_slots_ab_hist_rel_v2
45853,-1,24,lab_slots_ab_hist_rel_v2
45856,-1,24,lab_slots_ab_hist_rel_v2
45857,1,24,lab_slots_ab_hist_rel_v2
45861,-1,24,lab_slots_ab_hist_rel_v2
45862,10,24,lab_slots_ab_hist_rel_v2
45863,1,24,lab_slots_ab_hist_rel_v2
45864,22,24,lab_slots_ab_hist_rel_v2
45868,-1,24,lab_slots_ab_hist_rel_v2
45871,-1,24,lab_slots_ab_hist_rel_v2
45872,-1,24,lab_slots_ab_hist_rel_v2
45873,-1,24,lab_slots_ab_hist_rel_v2
45879,5,24,lab_slots_ab_hist_rel_v2
45880,-1,24,lab_slots_ab_hist_rel_v2
45882,21,24,lab_slots_ab_hist_rel_v2
45883,22,24,lab_slots_ab_hist_rel_v2
45886,-1,24,lab_slots_ab_hist_rel_v2
45889,22,24,lab_slots_ab_hist_rel_v2
45891,22,24,lab_slots_ab_hist_rel_v2
45893,22,24,lab_slots_ab_hist_rel_v2
45894,5,24,lab_slots_ab_hist_rel_v2
45895,-1,24,lab_slots_ab_hist_rel_v2
45896,-1,24,lab_slots_ab_hist_rel_v2
45900,10,24,lab_slots_ab_hist_rel_v2
45904,21,24,lab_slots_ab_hist_rel_v2
45907,-1,24,lab_slots_ab_hist_rel_v2
45908,13,24,lab_slots_ab_hist_rel_v2
45909,22,24,lab_slots_ab_hist_rel_v2
45912,13,24,lab_slots_ab_hist_rel_v2
45913,6,24,lab_slots_ab_hist_rel_v2
45914,-1,24,lab_slots_ab_hist_rel_v2
45915,6,24,lab_slots_ab_hist_rel_v2
45917,-1,24,lab_slots_ab_hist_rel_v2
45918,0,24,lab_slots_ab_hist_rel_v2
45919,22,24,lab_slots_ab_hist_rel_v2
45923,20,24,lab_slots_ab_hist_rel_v2
45929,6,24,lab_slots_ab_hist_rel_v2
45930,5,24,lab_slots_ab_hist_rel_v2
45932,-1,24,lab_slots_ab_hist_rel_v2
45934,6,24,lab_slots_ab_hist_rel_v2
45937,22,24,lab_slots_ab_hist_rel_v2
45938,6,24,lab_slots_ab_hist_rel_v2
45939,-1,24,lab_slots_ab_hist_rel_v2
45959,-1,24,lab_slots_ab_hist_rel_v2
45962,-1,24,lab_slots_ab_hist_rel_v2
45964,-1,24,lab_slots_ab_hist_rel_v2
45965,10,24,lab_slots_ab_hist_rel_v2
45967,18,24,lab_slots_ab_hist_rel_v2
45970,-1,24,lab_slots_ab_hist_rel_v2
45972,-1,24,lab_slots_ab_hist_rel_v2
45974,-1,24,lab_slots_ab_hist_rel_v2
45977,-1,24,lab_slots_ab_hist_rel_v2
45979,0,24,lab_slots_ab_hist_rel_v2
45984,-1,24,lab_slots_ab_hist_rel_v2
45985,-1,24,lab_slots_ab_hist_rel_v2
45986,13,24,lab_slots_ab_hist_rel_v2
45987,-1,24,lab_slots_ab_hist_rel_v2
45989,-1,24,lab_slots_ab_hist_rel_v2
45990,1,24,lab_slots_ab_hist_rel_v2
45992,13,24,lab_slots_ab_hist_rel_v2
45994,4,24,lab_slots_ab_hist_rel_v2
45997,10,24,lab_slots_ab_hist_rel_v2
45998,-1,24,lab_slots_ab_hist_rel_v2
45999,22,24,lab_slots_ab_hist_rel_v2
46000,-1,24,lab_slots_ab_hist_rel_v2
46001,-1,24,lab_slots_ab_hist_rel_v2
46003,-1,24,lab_slots_ab_hist_rel_v2
46004,4,24,lab_slots_ab_hist_rel_v2
46008,8,24,lab_slots_ab_hist_rel_v2
46011,9,24,lab_slots_ab_hist_rel_v2
46016,13,24,lab_slots_ab_hist_rel_v2
46017,6,24,lab_slots_ab_hist_rel_v2
