objectID,hue_group,mean_hue,distance_to_anchor,hue_weight,mean_saturation,swatches_used,used_source_fallback,source_manual_groups
207776,green,138.5221,8.5221,0.065515,0.204784,4,False,"[""blue_green_family""]"
50356,green,120.9548,9.0452,0.118608,0.143415,5,False,"[""celadon""]"
447276,green,139.4439,9.4439,0.106602,0.143138,5,False,"[""celadon""]"
48489,green,120.0072,9.9928,0.098556,0.10678,4,False,"[""celadon""]"
449078,green,120.0,10.0,0.001303,0.086957,1,False,"[""blue_green_family""]"
46953,green,140.065,10.065,0.420839,0.519838,5,False,"[""green""]"
51045,green,140.2917,10.2917,0.141446,0.174392,4,False,"[""celadon""]"
468382,green,119.2757,10.7243,0.060329,0.154855,3,False,"[""blue_green_family""]"
46916,green,142.1862,12.1862,0.288724,0.339138,5,False,"[""green""]"
51217,green,117.7518,12.2482,0.120934,0.13124,6,False,"[""blue_green_family""]"
46130,green,117.737,12.263,0.081994,0.28664,3,False,"[""green""]"
46989,green,142.3524,12.3524,0.45139,0.470515,6,False,"[""green""]"
448975,green,142.4274,12.4274,0.080172,0.162353,2,False,"[""celadon""]"
46955,green,142.5771,12.5771,0.273893,0.284259,7,False,"[""green""]"
46537,green,143.0124,13.0124,0.078375,0.090034,4,False,"[""celadon"",""blue_green_family""]"
42447,green,143.1208,13.1208,0.065651,0.093448,3,False,"[""celadon"",""blue_green_family""]"
73635,green,116.4363,13.5637,0.335474,0.350273,7,False,"[""green""]"
452853,green,143.9031,13.9031,0.052325,0.136608,3,False,"[""celadon""]"
194644,green,116.0342,13.9658,0.241734,0.52406,5,False,"[""green""]"
73676,green,144.4008,14.4008,0.044059,0.091248,2,False,"[""blue_green_family"",""blue_green_family""]"
46614,green,144.4538,14.4538,0.633936,0.669448,5,False,"[""green""]"
46548,green,115.2879,14.7121,0.042672,0.120517,4,False,"[""celadon""]"
46930,green,145.0789,15.0789,0.660166,0.692878,6,False,"[""green""]"
46957,green,145.1602,15.1602,0.439581,0.467453,7,False,"[""green""]"
452034,green,114.8186,15.1814,0.05555,0.125668,3,False,"[""blue_green_family""]"
48552,green,145.2267,15.2267,0.389867,0.437432,5,False,"[""green""]"
52679,green,145.3384,15.3384,0.079832,0.101852,3,False,"[""celadon""]"
46535,green,145.3411,15.3411,0.741602,0.759335,7,False,"[""green""]"
448186,green,145.716,15.716,0.076832,0.153159,4,False,"[""blue_green_family""]"
52656,green,145.7448,15.7448,0.079589,0.139779,3,False,"[""blue_green_family""]"
448976,green,146.2939,16.2939,0.045031,0.223566,2,False,"[""blue_green_family""]"
48310,green,146.3121,16.3121,0.599916,0.630016,5,False,"[""green""]"
453308,green,146.3879,16.3879,0.830234,0.849347,5,False,"[""green""]"
47556,green,146.8758,16.8758,0.509058,0.559477,6,False,"[""green""]"
51049,green,113.0571,16.9429,0.048202,0.106533,3,False,"[""celadon""]"
52252,green,112.9995,17.0005,0.037242,0.094264,3,False,"[""blue_green_family""]"
50357,green,147.2727,17.2727,0.001506,0.083333,1,False,"[""blue_green_family"",""blue_green_family""]"
48602,green,147.3483,17.3483,0.582939,0.600054,6,False,"[""green""]"
771015,green,112.3,17.7,0.201023,0.373333,3,False,"[""green""]"
48562,green,148.1154,18.1154,0.101266,0.107594,6,False,"[""celadon""]"
42246,green,111.8762,18.1238,0.06864,0.122916,6,False,"[""celadon""]"
449010,green,148.162,18.162,0.180953,0.285108,4,False,"[""green""]"
194590,green,148.274,18.274,0.694916,0.711488,6,False,"[""green""]"
770975,green,111.6281,18.3719,0.129378,0.155717,4,False,"[""celadon""]"
46517,green,148.7236,18.7236,0.360864,0.390744,5,False,"[""green""]"
769061,green,148.8418,18.8418,0.303139,0.314303,7,False,"[""green""]"
460681,green,149.192,19.192,0.355786,0.462939,5,False,"[""green""]"
48859,green,149.9768,19.9768,0.036064,0.190958,2,False,"[""green""]"
461224,green,109.6948,20.3052,0.199982,0.22616,6,False,"[""green""]"
45882,green,150.6058,20.6058,0.64592,0.667062,5,False,"[""green""]"
465831,green,109.0456,20.9544,0.248956,0.267285,6,False,"[""green""]"
42222,green,151.0928,21.0928,0.294079,0.672798,3,False,"[""green""]"
42416,green,108.8198,21.1802,0.133199,0.143608,6,False,"[""celadon""]"
770973,green,108.678,21.322,0.04168,0.093685,3,False,"[""blue_green_family""]"
48781,green,151.3344,21.3344,0.555178,0.738152,4,False,"[""green""]"
447275,green,151.4244,21.4244,0.083186,0.152233,5,False,"[""blue_green_family""]"
48712,green,108.5441,21.4559,0.052109,0.178594,3,False,"[""blue_green_family""]"
468400,green,107.9171,22.0829,0.02434,0.228384,2,False,"[""blue_green_family""]"
46941,green,152.1186,22.1186,0.505758,0.522781,6,False,"[""green""]"
444480,green,152.3382,22.3382,0.028228,0.265337,2,False,"[""blue_green_family""]"
851661,green,107.3682,22.6318,0.025844,0.097852,4,False,"[""blue_green_family"",""blue_green_family""]"
46947,green,152.7165,22.7165,0.433018,0.528139,4,False,"[""green""]"
42247,green,107.2798,22.7202,0.070762,0.106023,3,False,"[""celadon"",""blue_green_family""]"
477815,green,107.1685,22.8315,0.014434,0.190251,2,False,"[""green""]"
468381,green,107.1327,22.8673,0.027196,0.144018,2,False,"[""blue_green_family""]"
454610,green,107.0954,22.9046,0.028906,0.223666,2,False,"[""blue_green_family""]"
