objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
39512,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39513,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39520,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39521,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39524,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39528,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39531,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39559,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39576,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39589,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39590,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39609,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39631,2,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39666,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39885,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40074,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40082,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40083,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40084,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40095,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40206,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40207,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40959,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
40960,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
41076,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
41749,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
41753,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42011,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42190,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42191,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42192,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42199,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42200,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42201,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42202,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42203,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42204,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42205,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42206,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42207,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42208,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42209,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42211,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42212,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42213,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42215,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42216,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42217,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42218,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42220,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42221,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42222,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42223,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42224,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42226,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42227,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42228,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42229,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42232,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42237,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42238,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42240,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42241,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42242,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42243,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42246,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42247,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42248,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42249,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42250,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42251,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42253,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42254,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42255,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42256,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42257,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42265,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42267,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42268,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42272,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42278,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
