object_id,cluster,cluster_type
308566,cluster_6,core
308567,cluster_6,core
308568,cluster_1,weird_cluster
308569,cluster_3,core
308570,cluster_5,core
308571,cluster_5,core
308577,cluster_7,core
308578,cluster_7,core
308580,cluster_5,core
308582,cluster_3,core
308584,cluster_6,core
308585,cluster_5,core
308586,cluster_5,core
308588,cluster_6,core
308590,cluster_7,core
308591,cluster_7,core
308592,cluster_5,core
308600,cluster_5,core
308602,cluster_5,core
308606,cluster_5,core
308607,cluster_5,core
308608,cluster_6,core
308609,cluster_5,core
308615,cluster_5,core
308616,cluster_0,outliers
308618,cluster_5,core
308619,cluster_5,core
308622,cluster_6,core
308623,cluster_5,core
308624,cluster_5,core
308625,cluster_5,core
308626,cluster_5,core
308627,cluster_5,core
308628,cluster_5,core
308629,cluster_5,core
308640,cluster_1,weird_cluster
308642,cluster_5,core
308643,cluster_5,core
308645,cluster_5,core
308646,cluster_5,core
308647,cluster_5,core
308648,cluster_5,core
308651,cluster_5,core
308652,cluster_5,core
308655,cluster_5,core
308657,cluster_5,core
308702,cluster_5,core
308703,cluster_8,core
308704,cluster_5,core
308706,cluster_5,core
308707,cluster_5,core
308709,cluster_5,core
308710,cluster_5,core
308711,cluster_5,core
308712,cluster_5,core
308713,cluster_5,core
308714,cluster_5,core
308715,cluster_5,core
308718,cluster_5,core
308719,cluster_1,weird_cluster
308722,cluster_5,core
308723,cluster_0,outliers
308724,cluster_5,core
308883,cluster_8,core
308884,cluster_3,core
308885,cluster_8,core
308886,cluster_4,core
309129,cluster_6,core
309132,cluster_5,core
309133,cluster_6,core
309137,cluster_8,core
309138,cluster_10,core
309300,cluster_8,core
309301,cluster_10,core
309303,cluster_8,core
309323,cluster_8,core
309324,cluster_8,core
309325,cluster_8,core
309326,cluster_6,core
309327,cluster_4,core
309331,cluster_6,core
309332,cluster_8,core
309333,cluster_4,core
309335,cluster_4,core
309337,cluster_4,core
309338,cluster_6,core
309339,cluster_1,weird_cluster
309344,cluster_8,core
309345,cluster_8,core
309346,cluster_2,weird_cluster
309352,cluster_1,weird_cluster
309353,cluster_0,outliers
309354,cluster_6,core
309355,cluster_6,core
309356,cluster_1,weird_cluster
309357,cluster_8,core
309359,cluster_8,core
309360,cluster_8,core
309363,cluster_2,weird_cluster
309364,cluster_2,weird_cluster
309366,cluster_4,core
309367,cluster_2,weird_cluster
309370,cluster_8,core
309371,cluster_6,core
309372,cluster_8,core
309373,cluster_8,core
309376,cluster_1,weird_cluster
309378,cluster_6,core
309379,cluster_8,core
309380,cluster_6,core
309385,cluster_6,core
309386,cluster_0,outliers
309387,cluster_0,outliers
309388,cluster_2,weird_cluster
309389,cluster_6,core
309396,cluster_3,core
309397,cluster_1,weird_cluster
309399,cluster_7,core
309400,cluster_8,core
309401,cluster_5,core
309436,cluster_8,core
309437,cluster_8,core
309438,cluster_10,core
309439,cluster_8,core
309440,cluster_8,core
309441,cluster_8,core
309442,cluster_10,core
309443,cluster_8,core
309444,cluster_6,core
309445,cluster_6,core
309446,cluster_6,core
309447,cluster_8,core
309468,cluster_5,core
309469,cluster_7,core
309470,cluster_7,core
309482,cluster_2,weird_cluster
309484,cluster_9,core
309485,cluster_1,weird_cluster
309486,cluster_6,core
309487,cluster_9,core
309490,cluster_6,core
309492,cluster_6,core
309494,cluster_4,core
309495,cluster_4,core
309496,cluster_4,core
309497,cluster_8,core
309498,cluster_4,core
309499,cluster_4,core
309501,cluster_6,core
309502,cluster_6,core
309503,cluster_0,outliers
309504,cluster_8,core
309508,cluster_6,core
309509,cluster_8,core
309510,cluster_8,core
309512,cluster_8,core
309513,cluster_8,core
309514,cluster_8,core
309516,cluster_6,core
309517,cluster_6,core
309518,cluster_8,core
309519,cluster_6,core
309521,cluster_8,core
309523,cluster_6,core
309525,cluster_5,core
309713,cluster_2,weird_cluster
309717,cluster_7,core
309728,cluster_1,weird_cluster
309730,cluster_6,core
309731,cluster_0,outliers
309735,cluster_5,core
309741,cluster_5,core
309746,cluster_0,outliers
309747,cluster_1,weird_cluster
309751,cluster_6,core
309752,cluster_8,core
309753,cluster_8,core
309756,cluster_6,core
309757,cluster_3,core
309759,cluster_8,core
309760,cluster_8,core
310192,cluster_10,core
